task,model,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,log_loss,roc_auc
3class_strict_baseline,LogisticRegression,0.532319391634981,0.5334507935236722,0.5248408661582646,0.5407678741012074,0.6047427524907744,0.9003034046120482,
3class_strict_baseline,RandomForest,0.5931558935361216,0.5687812379853902,0.5945934804250486,0.5679151870599595,0.5728191673109507,0.8219406569370602,
3class_strict_baseline,GradientBoosting,0.6653992395437263,0.5869907512284617,0.6440449316616911,0.6716554094086978,0.5583227780428024,0.7733208505996771,
3class_strict_baseline,XGBoost,0.6083650190114068,0.5474589133919364,0.5986783189184262,0.5711418024967857,0.5344390342868737,0.9356184477332794,
3class_strict_baseline,SVM,0.532319391634981,0.5362454160408124,0.525697405208846,0.5391716474242368,0.6025316247470842,0.7892015169521978,
3class_strict_baseline,MLP,0.6197718631178707,0.5543657433227985,0.6067942010791156,0.5920449944326349,0.5362457710297028,0.8180922435810895,
3class_strict_baseline,Stacking,0.5437262357414449,0.5425043332985277,0.5409181677744248,0.5341252436647174,0.5940531218985267,0.8797819062022603,
3class_strict_fs_filter,LogisticRegression,0.5171102661596958,0.520495157384988,0.5053252009316971,0.528430375455547,0.5948207793916862,0.9096706682417874,
3class_strict_fs_filter,RandomForest,0.5931558935361216,0.5321848056353145,0.5824665389235584,0.5600995234090272,0.5173559134301678,0.9987019564363051,
3class_strict_fs_filter,GradientBoosting,0.6387832699619772,0.5761795114903608,0.6278522904071577,0.6076644863862662,0.5600033996260412,0.8317034317956407,
3class_strict_fs_filter,XGBoost,0.6045627376425855,0.5431250616800055,0.5940862362622834,0.5704176438620506,0.5285349256743048,0.9289629820627754,
3class_strict_fs_filter,SVM,0.532319391634981,0.5378609355246523,0.520929814019891,0.5428926203262486,0.611903900248392,0.7920683708481413,
3class_strict_fs_filter,MLP,0.5931558935361216,0.4433749363981922,0.5361267258694087,0.5944400282635577,0.4363721603526838,0.8488776280916857,
3class_strict_fs_filter,Stacking,0.5703422053231939,0.5657915177877894,0.5689875527512146,0.5576441102756892,0.6160670713318309,0.8818203137881979,
3class_strict_fs_wrapper,LogisticRegression,0.532319391634981,0.5299487504058459,0.5279940584655824,0.5301171010738762,0.5895074928854599,0.886120386048335,
3class_strict_fs_wrapper,RandomForest,0.5171102661596958,0.4688964702209735,0.5148524501683417,0.4741723654767133,0.4651497206275052,2.0537050613536967,
3class_strict_fs_wrapper,GradientBoosting,0.6083650190114068,0.5262381229843777,0.5887262100193161,0.576747311827957,0.5080055710000931,0.8664583490289064,
3class_strict_fs_wrapper,XGBoost,0.5627376425855514,0.4788609421752729,0.545105805246203,0.514161220043573,0.4666562484578309,0.907761121532893,
3class_strict_fs_wrapper,SVM,0.5057034220532319,0.5074064873404472,0.48981983093285536,0.5235768377072725,0.5902751503786196,0.8202846273919265,
3class_strict_fs_wrapper,MLP,0.6349809885931559,0.5477470336623295,0.609047289026205,0.6343434343434343,0.522473173112248,0.7810063223501307,
3class_strict_fs_wrapper,Stacking,0.5285171102661597,0.5308799338552332,0.5220121288335382,0.5319793459552495,0.5962423165709837,0.8905845241838022,
3class_strict_fs_embedded,LogisticRegression,0.5133079847908745,0.5110942162272635,0.5083763302739461,0.5126536358778312,0.5710850838665812,0.9297605371132843,
3class_strict_fs_embedded,RandomForest,0.5779467680608364,0.500249844691138,0.5615804131210597,0.5372727272727272,0.48595049705822685,1.2331400440974314,
3class_strict_fs_embedded,GradientBoosting,0.6273764258555133,0.5686747745014585,0.61857722774292,0.5965164791075722,0.5541596069593635,0.8897222582426089,
3class_strict_fs_embedded,XGBoost,0.5817490494296578,0.5164031370927923,0.5710392924238472,0.539311241065627,0.5047361725694045,1.0038778831155089,
3class_strict_fs_embedded,SVM,0.49429657794676807,0.49562187135737146,0.4874806607172449,0.49588231468383653,0.5576126948616298,0.8375473380412373,
3class_strict_fs_embedded,MLP,0.623574144486692,0.517811023360489,0.5864960043317153,0.6289235190097259,0.4969718653528757,0.8400224971116017,
3class_strict_fs_embedded,Stacking,0.5361216730038023,0.5349503105590062,0.5330294972014264,0.5300285463328942,0.5895486173940222,0.9262278995876588,
