,correlation
Horror,-0.3620741309958938
Drama,0.3490476301534446
Runtime (mins),0.31594393160717393
Crime,0.2119022795228313
Biography,0.17683447745304148
Sci-Fi,-0.1377115131192167
History,0.12562319474304257
War,0.12094330105826952
Animation,0.10697956712641388
Thriller,-0.10240616758873261
Comedy,0.08905514052758633
Action,-0.08250408566378024
Romance,0.08187219929770391
Western,0.08043249135364496
Fantasy,-0.06920799304308932
Family,0.06349581413402285
Adventure,-0.042697766539696015
Sport,0.032848249320793284
Music,0.03284824932079321
Mystery,-0.013314507340311183
Musical,-0.0019293529384945844
Year,0.0016802220697442534
